model,config_id,n_sim,nu_fixed,alpha,hit_rate,kupiec_p,christoffersen_p,es_shortfall_ratio,pinball_loss,n_oos
static,1,500,30,0.01,0.012248671134735382,0.15097743386456064,0.030217643903409308,1.0011747964138782,0.00019413506711544106,4327
static,1,500,30,0.05,0.04460365149064017,0.09735320858877128,0.2514029675253602,1.0184957343161138,0.0006566997721512498,4327
static,2,500,100,0.01,0.010399815114397967,0.7928527373709319,0.09124536426854268,1.0760805195032017,0.00019377990801925854,4327
static,2,500,100,0.05,0.04622140050843541,0.24828896789764898,0.220107471911568,1.0041003977359364,0.0006562772196105642,4327
static,3,500,300,0.01,0.011324243124566674,0.3912605518798894,0.019161422230997704,1.0303671242805814,0.00019376187807446595,4327
static,3,500,300,0.05,0.04414143748555581,0.0714396701973341,0.03137895133987478,1.0199624389038473,0.0006564751434128674,4327
static,4,1000,30,0.01,0.009937601109313613,0.9670604702640226,0.07613033801085844,1.0347362375487514,0.00019003143731284513,4327
static,4,1000,30,0.05,0.044834758493182345,0.11283574891750492,0.15239037264038646,1.0110798665520648,0.0006538428698046144,4327
static,5,1000,100,0.01,0.011324243124566674,0.3912605518798894,0.019161422230997704,1.0215510700992414,0.0001912506252115251,4327
static,5,1000,100,0.05,0.04437254448809799,0.08359660166378491,0.07003934565377135,1.0143229649373846,0.0006573924455056321,4327
static,6,1000,300,0.01,0.010630922116940143,0.6796947318424944,0.09951442054487258,1.0403005942110053,0.00019234172456969917,4327
static,6,1000,300,0.05,0.04437254448809799,0.08359660166378491,0.07003934565377135,1.0220871325056091,0.0006558240797753666,4327
static,7,2000,30,0.01,0.011324243124566674,0.3912605518798894,0.12729226126853543,1.0349672802979843,0.00019346078757599518,4327
static,7,2000,30,0.05,0.04391033048301363,0.0607548200276008,0.11665132149263169,1.0182383042037724,0.0006547753869088106,4327
static,8,2000,100,0.01,0.009937601109313613,0.9670604702640226,0.4501082638755678,1.0549659813822492,0.00019357437392596125,4327
static,8,2000,100,0.05,0.04414143748555581,0.0714396701973341,0.22445457197841168,1.0168042270556708,0.0006558507201298026,4327
static,9,2000,300,0.01,0.010630922116940143,0.6796947318424944,0.09951442054487258,1.0244576041527997,0.0001908895865118082,4327
static,9,2000,300,0.05,0.04437254448809799,0.08359660166378491,0.13363162092155723,1.0129172683090208,0.000656537106009529,4327
gas,10,500,30,0.01,0.015021955165241506,0.0019983841778167255,0.018746835731267453,1.0358651758862667,0.00019333175406498616,4327
gas,10,500,30,0.05,0.05084354055927895,0.7995548915867833,0.15188646738186462,1.03539266212472,0.0006549769274635992,4327
gas,11,500,100,0.01,0.013866420152530621,0.015740579125925303,0.06062389109610822,1.0578999167194643,0.00019266558195311253,4327
gas,11,500,100,0.05,0.05338571758724289,0.31189689395270737,0.4365337226549526,1.026356991104064,0.0006554705827071319,4327
gas,12,500,300,0.01,0.012941992142361913,0.06280241987542645,0.04132057710885839,1.0698674869612106,0.0001935520073674859,4327
gas,12,500,300,0.05,0.053847931592327244,0.25108956952091566,0.12421480494725612,1.016414326251044,0.0006527827185914185,4327
gas,13,1000,30,0.01,0.013404206147446267,0.03240787924101929,0.05028065257498526,1.0325922428156074,0.00019282821128153288,4327
gas,13,1000,30,0.05,0.051074647561821125,0.746499660684995,0.09320506517079452,1.0329195936752138,0.0006565369254432861,4327
gas,14,1000,100,0.01,0.013404206147446267,0.03240787924101929,0.05028065257498526,1.0472620791828602,0.00019235641843902074,4327
gas,14,1000,100,0.05,0.05084354055927895,0.7995548915867833,0.25132847897358257,1.0306213282292178,0.0006531056371461749,4327
gas,15,1000,300,0.01,0.013173099144904091,0.045459542596420044,0.04563499600028964,1.0612605487314792,0.0001924437372093237,4327
gas,15,1000,300,0.05,0.05153686156690548,0.6443454994536808,0.10749144889918527,1.032304873092782,0.000654190832337977,4327
gas,16,2000,30,0.01,0.012248671134735382,0.15097743386456064,0.030217643903409308,1.0442717861053112,0.00019035263057008077,4327
gas,16,2000,30,0.05,0.0513057545643633,0.694693080693937,0.054996001897290814,1.021866734960532,0.0006528834863725836,4327
gas,17,2000,100,0.01,0.011786457129651028,0.25071821933149496,0.6342374819074212,1.0674604415422175,0.00019190785202129022,4327
gas,17,2000,100,0.05,0.05038132655419459,0.9084820033150982,0.35628877440653317,1.0283091699760838,0.000651781708384301,4327
gas,18,2000,300,0.01,0.012017564132193206,0.19607694933757913,0.15970049602719272,1.0484078193756294,0.0001916088313910588,4327
gas,18,2000,300,0.05,0.050612433556736766,0.8536302784714398,0.23761061189977173,1.0260562315514525,0.0006524881240765295,4327
